"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",121.013251,24.734474,"Taiwan",2022,1,9,"cdround","https://www.inaturalist.org/observations/104633894","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456533406","104633894",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",121.005165,24.203559,"Taichung",2022,4,13,"cdround","https://www.inaturalist.org/observations/111267110","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759415863","111267110",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.623076,23.695099,"Taiwan",2022,7,11,"cdround","https://www.inaturalist.org/observations/125759097","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873639102","125759097",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.591905,22.932547,"Kaohsiung",2021,1,31,"cdround","https://www.inaturalist.org/observations/68941085","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333396397","68941085",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.78913,24.182963,"Taichung",2021,2,17,"cdround","https://www.inaturalist.org/observations/69710629","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044672405","69710629",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.596893,22.931621,"Kaohsiung",2021,3,15,"cdround","https://www.inaturalist.org/observations/71349217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3061786437","71349217",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.612602,23.597791,"Taiwan",2021,3,20,"cdround","https://www.inaturalist.org/observations/71600225","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330532408","71600225",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.354063,23.026522,"Tainan",2021,3,13,"cdround","https://www.inaturalist.org/observations/71108065","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330636413","71108065",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.592441,22.931283,"Kaohsiung",2021,5,10,"cdround","https://www.inaturalist.org/observations/78339348","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113655552","78339348",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.988728,24.789456,"Kaohsiung",2021,9,20,"cdround","https://www.inaturalist.org/observations/95621363","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384966688","95621363",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.790787,23.687797,"Taiwan",2021,10,30,"cdround","https://www.inaturalist.org/observations/99943305","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456016521","99943305",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",121.033443,24.660645,"Taiwan",2021,10,31,"cdround","https://www.inaturalist.org/observations/99877944","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456847560","99877944",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.772803,24.269262,"Taichung",2021,12,3,"cdround","https://www.inaturalist.org/observations/109992231","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759247479","109992231",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",121.593527,25.132302,"Taipei",2021,12,15,"cdround","https://www.inaturalist.org/observations/115305678","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773056273","115305678",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",121.437753,24.710668,"Taipei",2020,8,25,"cdround","https://www.inaturalist.org/observations/57717261","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856725439","57717261",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.786556,24.425708,"Taiwan",2020,10,14,"cdround","https://www.inaturalist.org/observations/62631862","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031935995","62631862",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.797407,24.194027,"Taichung",2019,2,16,"cdround","https://www.inaturalist.org/observations/20487168","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2451579793","20487168",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.953553,24.682675,"Taiwan",2019,2,13,"cdround","https://www.inaturalist.org/observations/20339022","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873620314","20339022",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.988473,24.789995,"Kaohsiung",2019,3,2,"cdround","https://www.inaturalist.org/observations/20873439","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2451579898","20873439",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.597973,22.930407,"Kaohsiung",2019,3,5,"cdround","https://www.inaturalist.org/observations/63550269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333286377","63550269",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.617652,23.75371,"Taiwan",2019,4,5,"cdround","https://www.inaturalist.org/observations/22135595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2236239806","22135595",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.597792,22.930948,"Kaohsiung",2019,4,11,"cdround","https://www.inaturalist.org/observations/64169586","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335147378","64169586",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella formosensis",120.917208,24.150162,"Taichung",2019,7,21,"cdround","https://www.inaturalist.org/observations/29383337","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2294645222","29383337",NA,NA,NA,NA,NA,NA,NA
